Alabama
  Autauga County, AL (fips:01001)
  Franklin County, AL (fips:01059)
    G-AL                              Ivey, Kay (GOP)       6451
                                   Maddox, Walt (Dem)       2334
    H-AL-04                    Aderholt, Robert (GOP)       6837
                                     Auman, Lee (Dem)       1866
  Geneva County, AL (fips:01061)
    G-AL                              Ivey, Kay (GOP)       7780
                                   Maddox, Walt (Dem)       1219
    H-AL-02                      Isner, Tabitha (Dem)       1542
                                   Roby, Martha (GOP)       7362
  Greene County, AL (fips:01063)
    G-AL                              Ivey, Kay (GOP)        661
                                   Maddox, Walt (Dem)       3506
    H-AL-07                       Sewell, Terri (Dem)          0
  Hale County, AL (fips:01065)
    G-AL                              Ivey, Kay (GOP)       2361
                                   Maddox, Walt (Dem)       4204
    H-AL-07                       Sewell, Terri (Dem)          0
  Henry County, AL (fips:01067)
    G-AL                              Ivey, Kay (GOP)       4653
                                   Maddox, Walt (Dem)       2037
    H-AL-02                      Isner, Tabitha (Dem)       2245
                                   Roby, Martha (GOP)       4416
  Houston County, AL (fips:01069)
    G-AL                              Ivey, Kay (GOP)      23012
                                   Maddox, Walt (Dem)       8993
    H-AL-02                      Isner, Tabitha (Dem)       9888
                                   Roby, Martha (GOP)      21976
  Jackson County, AL (fips:01071)
    G-AL                              Ivey, Kay (GOP)      12066
                                   Maddox, Walt (Dem)       3565
    H-AL-04                    Aderholt, Robert (GOP)         51
                                     Auman, Lee (Dem)          5
    H-AL-05                          Brooks, Mo (GOP)      11991
                                Joffrion, Peter (Dem)       3512
  Jefferson County, AL (fips:01073)
    G-AL                              Ivey, Kay (GOP)     105509
                                   Maddox, Walt (Dem)     151736
    H-AL-06                       Kline, Danner (Dem)      55122
                                   Palmer, Gary (GOP)      96352
    H-AL-07                       Sewell, Terri (Dem)          0
  Lamar County, AL (fips:01075)
    G-AL                              Ivey, Kay (GOP)       4397
                                   Maddox, Walt (Dem)        973
    H-AL-04                    Aderholt, Robert (GOP)       4530
                                     Auman, Lee (Dem)        823
  Lauderdale County, AL (fips:01077)
    G-AL                              Ivey, Kay (GOP)      20561
                                   Maddox, Walt (Dem)      10154
    H-AL-05                          Brooks, Mo (GOP)      20369
                                Joffrion, Peter (Dem)      10225
  Lawrence County, AL (fips:01079)
    G-AL                              Ivey, Kay (GOP)       8146
                                   Maddox, Walt (Dem)       3775
    H-AL-04                    Aderholt, Robert (GOP)       8567
                                     Auman, Lee (Dem)       3164
  Lee County, AL (fips:01081)
    G-AL                              Ivey, Kay (GOP)      29135
                                   Maddox, Walt (Dem)      19931
    H-AL-03                      Hagan, Mallory (Dem)      20904
                                   Rogers, Mike (GOP)      28173
  Limestone County, AL (fips:01083)
    G-AL                              Ivey, Kay (GOP)      23069
                                   Maddox, Walt (Dem)      10335
    H-AL-05                          Brooks, Mo (GOP)      23000
                                Joffrion, Peter (Dem)      10260
  Lowndes County, AL (fips:01085)
    G-AL                              Ivey, Kay (GOP)       1555
                                   Maddox, Walt (Dem)       3487
    H-AL-07                       Sewell, Terri (Dem)          0
  Macon County, AL (fips:01087)
    G-AL                              Ivey, Kay (GOP)       1374
                                   Maddox, Walt (Dem)       5862
    H-AL-03                      Hagan, Mallory (Dem)       5967
                                   Rogers, Mike (GOP)       1235
  Madison County, AL (fips:01089)
    G-AL                              Ivey, Kay (GOP)      75554
                                   Maddox, Walt (Dem)      65127
    H-AL-05                          Brooks, Mo (GOP)      74528
                                Joffrion, Peter (Dem)      66012
  Marengo County, AL (fips:01091)
    G-AL                              Ivey, Kay (GOP)       4025
                                   Maddox, Walt (Dem)       4729
    H-AL-07                       Sewell, Terri (Dem)          0
  Marion County, AL (fips:01093)
    G-AL                              Ivey, Kay (GOP)       8021
                                   Maddox, Walt (Dem)       1876
    H-AL-04                    Aderholt, Robert (GOP)       8570
                                     Auman, Lee (Dem)       1272
  Marshall County, AL (fips:01095)
    G-AL                              Ivey, Kay (GOP)      22020
                                   Maddox, Walt (Dem)       5188
    H-AL-04                    Aderholt, Robert (GOP)      22904
                                     Auman, Lee (Dem)       4266
  Mobile County, AL (fips:01097)
    G-AL                              Ivey, Kay (GOP)      69117
                                   Maddox, Walt (Dem)      62912
    H-AL-01                      Byrne, Bradley (GOP)      71941
                                Kennedy, Robert (Dem)      59853
  Monroe County, AL (fips:01099)
    G-AL                              Ivey, Kay (GOP)       5033
                                   Maddox, Walt (Dem)       3859
    H-AL-01                      Byrne, Bradley (GOP)       4974
                                Kennedy, Robert (Dem)       3841
  Montgomery County, AL (fips:01101)
    G-AL                              Ivey, Kay (GOP)      28405
                                   Maddox, Walt (Dem)      48534
    H-AL-02                      Isner, Tabitha (Dem)      28292
                                   Roby, Martha (GOP)      18033
    H-AL-03                      Hagan, Mallory (Dem)       6912
                                   Rogers, Mike (GOP)       8153
    H-AL-07                       Sewell, Terri (Dem)          0
  Morgan County, AL (fips:01103)
    G-AL                              Ivey, Kay (GOP)      28318
                                   Maddox, Walt (Dem)      11044
    H-AL-05                          Brooks, Mo (GOP)      28485
                                Joffrion, Peter (Dem)      10769
  Perry County, AL (fips:01105)
    G-AL                              Ivey, Kay (GOP)       1058
                                   Maddox, Walt (Dem)       3176
    H-AL-07                       Sewell, Terri (Dem)          0
  Pickens County, AL (fips:01107)
    G-AL                              Ivey, Kay (GOP)       4634
                                   Maddox, Walt (Dem)       3666
    H-AL-07                       Sewell, Terri (Dem)          0
  Pike County, AL (fips:01109)
    G-AL                              Ivey, Kay (GOP)       6219
                                   Maddox, Walt (Dem)       4173
    H-AL-02                      Isner, Tabitha (Dem)       4552
